Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
0,0,2018-02-16 01:00:32,112640723,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633352,56300000.0,101.1162697,56300000,56300000,113000000,56300000.0,101.1162697,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633352,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,101.1162697,56300000,56300000,Benign,0
22,6,2018-02-16 01:01:42,2146470,14,12,1335,2273,744,0,95.35714286,200.7882954,976,0,189.4166667,347.6425694,1680.899337,12.11291097,85858.8,119549.868,260447,11,2146470,165113.0769,135202.6351,295321,18,1891154,171923.0909,127776.4691,300492,83,0,0,0,0,456,392,6.522336674,5.590574292,0,976,133.6296296,272.3986259,74201.0114,0,0,0,1,0,0,0,0,0,138.7692308,95.35714286,189.4166667,0,0,0,0,0,0,14,1335,12,2273,27200,233,8,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
0,0,2018-02-16 01:03:21,112640737,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633348,56300000.0,17.67766953,56300000,56300000,113000000,56300000.0,17.67766953,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633348,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,17.67766953,56300000,56300000,Benign,0
67,17,2018-02-16 01:03:50,721,1,1,300,329,300,300,300.0,0.0,329,329,329.0,0.0,872399.4452,2773.925104,721.0,0.0,721,721,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1386.962552,1386.962552,300,329,309.6666667,16.74315781,280.3333333,0,0,0,0,0,0,0,0,1,464.5,300.0,329.0,0,0,0,0,0,0,1,300,1,329,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
0,0,2018-02-16 01:06:10,112640647,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.02663337,56300000.0,58.68986284,56300000,56300000,113000000,56300000.0,58.68986284,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.02663337,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,58.68986284,56300000,56300000,Benign,0
22,6,2018-02-16 01:08:55,971897,12,12,1335,2273,744,0,111.25,213.8160318,976,0,189.4166667,347.6425694,3712.327541,24.69397477,42256.3913,52208.65703,118540,9,971897,88354.27273,50299.48915,149630,27,854555,77686.81818,56260.29099,155043,76,0,0,0,0,392,392,12.34698739,12.34698739,0,976,144.32,280.6729592,78777.31,0,0,0,1,0,0,0,0,1,150.3333333,111.25,189.4166667,0,0,0,0,0,0,12,1335,12,2273,29200,233,8,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
0,0,2018-02-16 01:08:59,112640686,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633361,56300000.0,107.4802307,56300000,56300000,113000000,56300000.0,107.4802307,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633361,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,107.4802307,56300000,56300000,Benign,0
0,0,2018-02-16 01:11:48,112640677,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633363,56300000.0,115.2584053,56300000,56300000,113000000,56300000.0,115.2584053,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633363,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,115.2584053,56300000,56300000,Benign,0
0,0,2018-02-16 01:14:37,112640700,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633357,56300000.0,50.91168825,56300000,56300000,113000000,56300000.0,50.91168825,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633357,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,50.91168825,56300000,56300000,Benign,0
22,6,2018-02-16 01:14:53,18617500,11,8,1143,2145,744,0,103.9090909,226.7617492,976,0,268.125,409.9883056,176.6080301,1.020545186,1034305.556,2842134.785,10300000,12,18600000,1861750.0,3680839.51,10300000,47,8131509,1161644.143,2757734.511,7410959,2570,0,0,0,0,360,264,0.59084195,0.429703236,0,976,164.4,311.5488303,97062.67368,0,0,0,1,0,0,0,0,0,173.0526316,103.9090909,268.125,0,0,0,0,0,0,11,1143,8,2145,14600,233,6,32,606815.0,535746.5238,985645,227985,8701909.0,2203576.661,10300000,7143745,Benign,0
39226,6,2018-02-16 01:15:11,870,3,0,64,0,64,0,21.33333333,36.95041723,0,0,0.0,0.0,73563.21839,3448.275862,435.0,576.9991334,843,27,870,435.0,576.9991334,843,27,0,0.0,0.0,0,0,0,0,0,0,96,0,3448.275862,0.0,0,64,16.0,32.0,1024.0,0,0,0,0,1,0,0,0,0,21.33333333,21.33333333,0.0,0,0,0,0,0,0,3,64,0,0,233,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
22,6,2018-02-16 01:17:04,10133703,10,7,1063,1297,744,0,106.3,239.3574965,976,0,185.2857143,363.3963467,232.8862411,1.677570381,633356.4375,2292253.227,9222056,13,10100000,1125967.0,3038188.724,9222056,23,695517,115919.5,110564.435,216244,2685,0,0,0,0,328,232,0.986806106,0.690764274,0,976,131.1111111,281.9949705,79521.1634,0,0,0,1,0,0,0,0,0,138.8235294,106.3,185.2857143,0,0,0,0,0,0,10,1063,7,1297,14600,222,4,32,911624.0,0.0,911624,911624,9222056.0,0.0,9222056,9222056,Benign,0
42496,6,2018-02-16 01:17:14,841,2,0,848,0,848,0,424.0,599.6265504,0,0,0.0,0.0,1008323.424,2378.121284,841.0,0.0,841,841,841,841.0,0.0,841,841,0,0.0,0.0,0,0,1,0,0,0,64,0,2378.121284,0.0,0,848,565.3333333,489.5930283,239701.3333,0,1,0,0,1,0,0,0,0,848.0,424.0,0.0,0,0,0,0,0,0,2,848,0,0,233,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
0,0,2018-02-16 01:17:26,112640776,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633339,56300000.0,74.95331881,56300000,56300000,113000000,56300000.0,74.95331881,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633339,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,74.95331881,56300000,56300000,Benign,0
35605,6,2018-02-16 01:18:03,313599,6,5,3488,672,1168,0,581.3333333,495.1907377,560,0,134.4,239.6263758,13265.34842,35.07664246,31359.9,33216.23084,89919,27,313599,62719.8,67510.08987,149027,27,232554,58138.5,40323.12249,95806,20172,1,0,0,0,120,100,19.13271407,15.94392839,0,1168,408.0,438.7884145,192535.2727,0,1,0,0,1,0,0,0,0,445.0909091,581.3333333,134.4,0,0,0,0,0,0,6,3488,5,672,256,252,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
0,0,2018-02-16 01:20:15,112640643,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633371,56300000.0,4.949747468,56300000,56300000,113000000,56300000.0,4.949747468,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633371,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,4.949747468,56300000,56300000,Benign,0
0,0,2018-02-16 01:23:04,112639909,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633544,56300000.0,38.89087297,56300000,56300000,113000000,56300000.0,38.89087297,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633544,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,38.89087297,56300000,56300000,Benign,0
22,6,2018-02-16 01:23:54,18560445,12,8,1143,2145,744,0,95.25,218.2796892,976,0,268.125,409.9883056,177.150925,1.077560371,976865.5263,2746950.142,9784794,14,18600000,1687313.182,3502271.863,9784794,20,8553010,1221858.571,2919296.739,7838000,2662,0,0,0,0,392,264,0.646536223,0.431024148,0,976,156.5714286,305.7720673,93496.55714,0,0,0,1,0,0,0,0,0,164.4,95.25,268.125,0,0,0,0,0,0,12,1143,8,2145,14600,233,6,32,581132.5,503958.5385,937485,224780,8699080.0,1535431.464,9784794,7613366,Benign,0
