Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
3389,6,2018-03-01 01:00:00,1798625,8,7,1128,1581,661,0,141.0,222.6233206,1173,0,225.8571429,430.0986044,1506.150532,8.339703941,128473.2143,245975.2441,953191,44,1798625,256946.4286,415019.9319,1191771,44,1621031,270171.8333,335942.0934,953191,109413,0,0,0,0,172,152,4.447842102,3.891861839,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-03-01 01:00:00,1691412,8,7,1128,1581,661,0,141.0,222.6233206,1173,0,225.8571429,430.0986044,1601.620421,8.868330129,120815.1429,245430.5766,953235,4,1691412,241630.2857,391838.0097,1124995,4,1582350,263725.0,338577.9575,953235,110444,0,0,0,0,172,152,4.729776069,4.13855406,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
67,17,2018-03-01 01:00:01,1213,1,1,300,329,300,300,300.0,0.0,329,329,329.0,0.0,518549.0519,1648.804617,1213.0,0.0,1213,1213,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,824.4023083,824.4023083,300,329,309.6666667,16.74315781,280.3333333,0,0,0,0,0,0,0,0,1,464.5,300.0,329.0,0,0,0,0,0,0,1,300,1,329,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-03-01 01:00:02,3883647,14,7,1389,392,682,0,99.21428571,189.6548195,291,0,56.0,105.3976597,458.589568,5.407288561,194182.35,244925.6084,953338,44,3883647,298742.0769,323285.5996,1201292,14216,3657223,609537.1667,356774.1421,953338,158084,0,0,0,0,292,152,3.604859041,1.80242952,0,682,80.95454545,161.8095522,26182.33117,0,0,1,1,0,0,0,1,0,84.80952381,99.21428571,56.0,0,0,0,0,0,0,14,1389,7,392,8192,62649,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
56504,6,2018-03-01 01:00:02,86327303,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.023167641,86300000.0,0.0,86300000,86300000,86300000,86300000.0,0.0,86300000,86300000,0,0.0,0.0,0,0,0,0,0,0,40,0,0.023167641,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,62614,-1,0,20,0.0,0.0,0,0,86300000.0,0.0,86300000,86300000,Benign,0
56391,17,2018-03-01 01:00:02,105564441,9,7,108,84,12,12,12.0,0.0,12,12,12.0,0.0,1.818794266,0.151566189,7037629.4,7386991.549,14700000,316056,106000000,13200000.0,5204141.909,15100000,316056,90100000,15000000.0,15630.44028,15000000,15000000,0,0,0,0,72,56,0.085255981,0.066310208,12,12,12.0,0.0,0.0,0,0,0,0,0,0,0,0,0,12.75,12.0,12.0,0,0,0,0,0,0,9,108,7,84,-1,-1,8,8,355986.2857,38365.00373,425798,316056,14700000.0,41073.02896,14700000,14600000,Benign,0
20,6,2018-03-01 01:00:02,20,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,65535,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-03-01 01:00:03,2853496,8,8,1128,1581,661,0,141.0,222.6233206,1173,0,197.625,406.121705,949.3617654,5.607156975,190233.0667,269862.163,984708,3,2853496,407642.2857,468749.2904,1272077,3,2690026,384289.4286,317134.1167,984708,190789,0,0,0,0,172,172,2.803578488,2.803578488,0,1173,159.3529412,310.3705328,96329.86765,0,0,1,1,0,0,0,1,1,169.3125,141.0,197.625,0,0,0,0,0,0,8,1128,8,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-03-01 01:00:03,2542630,9,7,1148,1581,677,0,127.5555556,218.6910556,1173,0,225.8571429,430.0986044,1073.29812,6.292696932,169508.6667,242275.3639,953252,84,2542630,317828.75,375825.1652,1225211,266,2321551,386925.1667,287992.9014,953252,222127,0,0,0,0,192,152,3.539642024,2.753054908,0,1173,160.5294118,312.044091,97371.51471,0,0,1,1,0,0,0,1,0,170.5625,127.5555556,225.8571429,0,0,0,0,0,0,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-03-01 01:00:03,1409102,8,7,1132,1581,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1925.339684,10.6450775,100650.1429,251852.9694,968822,42,1409102,201300.2857,384064.1936,1070295,42,1345483,224247.1667,365044.1943,968822,63983,0,0,0,0,168,148,5.677374668,4.967702835,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
