Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
3389,6,2018-02-14 01:00:00,1297112,8,7,1138,1581,677,0,142.25,227.7465696778,1173,0,225.8571428571,430.0986044197,2096.1952398868,11.5641517463,92650.8571428571,253200.90472036,968892,3,1297112,185301.714285714,383225.279195199,1053390,3,1249629,208271.5,372871.831471754,968892,47439,0,0,0,0,172,152,6.167547598,5.3966041483,0,1173,169.9375,319.3627965705,101992.595833333,0,0,0,1,0,0,0,0,0,181.2666666667,142.25,225.8571428571,0,0,0,0,0,0,8,1138,7,1581,8192,62862,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
80,6,2018-02-14 01:00:00,624,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,1040064.1025641,11217.9487179487,104.0,58.5491246732,155,25,335,167.5,31.8198051534,190,145,469,156.3333333333,152.7754343255,324,25,0,0,0,0,72,92,4807.6923076923,6410.2564102564,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
80,6,2018-02-14 01:00:00,71,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28169.014084507,71.0,0.0,71,71,71,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0,0,0,40,0,28169.014084507,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
80,6,2018-02-14 01:00:00,667,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,973013.493253373,10494.7526236882,111.1666666667,82.1788699525,250,25,285,142.5,50.2045814642,178,107,523,174.3333333333,192.0659608919,391,25,0,0,0,0,72,92,4497.7511244378,5997.0014992504,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
80,6,2018-02-14 01:00:00,89,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22471.9101123596,89.0,0.0,89,89,89,89.0,0.0,89,89,0,0.0,0.0,0,0,0,0,0,0,40,0,22471.9101123596,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
443,6,2018-02-14 01:00:00,111873906,7,3,169,92,46,0,24.1428571429,23.1979063095,46,0,30.6666666667,26.5581123827,2.3329837076,0.0893863489,12430434.0,24616764.1912354,58562100,18,111873906,18645651.0,28818685.2758854,58562100,18,58717411,29358705.5,41518935.0195961,58717026,385,1,0,0,0,140,60,0.0625704443,0.0268159047,0,46,27.9090909091,22.558610531,508.8909090909,0,1,0,0,1,0,0,0,0,30.7,24.1428571429,30.6666666667,0,0,0,0,0,0,7,169,3,92,256,185,3,20,155665.5,161.9274528917,155780,155551,55780941.0,3933152.77691599,58562100,52999782,Benign,0
445,6,2018-02-14 01:00:00,842527,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,941.2161271983,13.0559614113,84252.7,108568.365811133,210762,62,842453,168490.6,93937.9370424963,210880,450,842465,210616.25,456.6102459064,211106,210119,0,0,0,0,132,112,7.1214334971,5.9345279142,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-02-14 01:00:00,2238405,8,7,1148,1581,677,0,143.5,228.129662379,1173,0,225.8571428571,430.0986044197,1219.1716869825,6.701200185,159886.071428571,250209.269739879,964643,64,2238405,319772.142857143,401386.084733651,1213326,64,2040259,340043.166666667,306457.626092363,964643,204135,0,0,0,0,172,152,3.573973432,3.127226753,0,1173,170.5625,319.433241591,102037.595833333,0,0,0,1,0,0,0,0,0,181.9333333333,143.5,225.8571428571,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
445,6,2018-02-14 01:00:00,35742592,5,10,373,638,140,0,74.6,70.2837107728,145,0,63.8,46.678093839,28.2855815269,0.4196673817,2553042.28571429,5015770.49440584,17702717,67,799779,199944.75,133079.906368004,267334,327,35742525,3971391.66666667,5877485.56251698,17702717,266326,0,0,0,0,112,212,0.1398891272,0.2797782545,0,145,63.1875,54.1703716682,2934.4291666667,0,0,0,1,0,0,0,0,2,67.4,74.6,63.8,0,0,0,0,0,0,5,373,10,638,8192,0,3,20,9180729.0,0.0,9180729,9180729,13280931.5,6253349.0240047,17702717,8859146,Benign,0
80,6,2018-02-14 01:00:00,824,3,4,148,243,148,0,49.3333333333,85.4478398401,243,0,60.75,121.5,474514.563106796,8495.145631068,137.3333333333,79.1799637956,226,32,410,205.0,90.5096679919,269,141,612,204.0,162.123409784,354,32,0,0,0,0,72,92,3640.7766990291,4854.3689320388,0,243,48.875,93.9930658537,8834.6964285714,0,0,0,1,0,0,0,0,1,55.8571428571,49.3333333333,60.75,0,0,0,0,0,0,3,148,4,243,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
3389,6,2018-02-14 01:00:00,4363661,8,11,1148,1581,677,0,143.5,228.129662379,1173,0,143.7272727273,352.1017156758,625.3923024726,4.3541420839,242425.611111111,292388.123421419,1246420,4,4363661,623380.142857143,546103.56081804,1681451,4,3991816,399181.6,338882.770818137,1246420,22702,0,0,0,0,172,232,1.8333229827,2.5208191012,0,1173,136.45,292.3279475989,85455.6289473685,0,0,1,1,0,0,0,1,1,143.6315789474,143.5,143.7272727273,0,0,0,0,0,0,8,1148,11,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,0
